"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMPERATURE";"PARTREV";"PART_STATUS";"ROHS_COMPLIANCE";"SERIES";"STANDARD";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"R12";"30k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R13";"0";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R15";"10k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R16";"2k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R17";"2k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R18";"";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R19";"";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R20";"";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R21";"";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R22";"";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R26";"30k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R27";"0";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"R29";"10k";"RESISTOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"REG1";"AP63205";"AP63205";"AP63203";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RS1";"0.068";"RESISTOR0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RS2";"0.068";"RESISTOR0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RS3";"0.068";"RESISTOR0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"RS4";"0.068";"RESISTOR0805";"0805";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP1";"TEST_POINT";"TEST_POINT";"TEST_POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TP2";"TEST_POINT";"TEST_POINT";"TEST_POINT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"";"CP2104";"QFN24_4MM_SMSC";"CP2104 - USB to UART Bridge";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U2";"AP2112-3.3";"VREG_SOT23-5";"SOT23-5";"SOT23-5 Fixed Voltage Regulators";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"ESP32_WROOM32";"ESP32_WROOM32";"WROOM32";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"X2";"";"USB";"USB_MICRO_SMT";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";
